Auto Name,Markenname,Geschwindigkeit,Beschleunigung,Preis,Alter,Spritverbrauch
Nissan Model A,Nissan,187,4.52,58059,2,10.71
Volkswagen Model B,Volkswagen,102,6.54,78831,18,5.79
Honda Model D,Honda,159,6.97,35940,4,14.95
Ford Model D,Ford,162,2.73,78528,10,5.32
Toyota Model C,Toyota,121,9.91,47502,7,14.53
Ford Model C,Ford,230,3.33,43257,19,12.17
BMW Model E,BMW,213,8.38,40904,8,10.28
Mercedes Model A,Mercedes,103,3.94,79571,7,12.09
BMW Model E,BMW,125,8.07,22293,12,5.45
Mercedes Model B,Mercedes,224,9.08,37494,18,12.12
Volkswagen Model A,Volkswagen,182,6.37,56174,14,11.42
Mercedes Model A,Mercedes,144,8.8,50015,1,13.91
BMW Model E,BMW,128,7.0,25713,20,5.3
BMW Model D,BMW,166,5.81,71886,0,8.8
BMW Model B,BMW,197,6.98,63464,2,9.86
Ford Model D,Ford,104,7.5,78021,15,8.66
Mercedes Model B,Mercedes,113,6.04,79245,15,13.8
Nissan Model A,Nissan,130,2.82,75423,7,13.42
Mercedes Model A,Mercedes,126,5.74,61549,11,10.17
Honda Model D,Honda,191,7.96,78214,4,13.76
BMW Model E,BMW,165,9.04,54025,10,6.78
Toyota Model B,Toyota,161,3.43,49037,8,5.65
Volkswagen Model B,Volkswagen,249,9.45,24911,5,8.07
Ford Model D,Ford,174,2.76,79013,1,13.71
Volkswagen Model E,Volkswagen,203,4.81,33710,2,14.43
Volkswagen Model B,Volkswagen,121,9.56,44007,19,8.2
BMW Model B,BMW,144,9.5,47509,12,10.19
Honda Model E,Honda,130,4.58,61495,18,14.01
Ford Model C,Ford,227,2.18,68595,8,8.54
Nissan Model D,Nissan,155,7.21,38318,8,13.53
BMW Model E,BMW,173,5.87,67149,5,10.56
BMW Model A,BMW,234,6.09,32989,0,10.11
Toyota Model B,Toyota,200,6.25,55058,12,12.61
Honda Model D,Honda,224,4.26,35626,17,5.29
Mercedes Model C,Mercedes,233,8.44,53058,11,9.02
Volkswagen Model D,Volkswagen,143,7.6,77535,1,12.33
Nissan Model C,Nissan,154,4.12,30998,12,12.05
Volkswagen Model E,Volkswagen,126,3.54,45411,16,13.77
Toyota Model B,Toyota,147,8.2,32848,3,11.05
BMW Model B,BMW,114,2.21,61555,15,6.5
Honda Model B,Honda,139,2.58,22554,13,5.19
BMW Model A,BMW,102,2.02,35128,17,7.78
Toyota Model E,Toyota,218,6.17,50941,8,10.17
BMW Model A,BMW,230,2.56,36973,1,11.62
Honda Model B,Honda,159,4.57,32239,15,8.49
Ford Model A,Ford,193,7.31,63290,18,10.39
Mercedes Model C,Mercedes,234,5.14,67047,17,9.92
Mercedes Model B,Mercedes,116,8.07,76073,12,12.0
Toyota Model A,Toyota,234,5.54,40160,0,12.64
Honda Model B,Honda,197,5.67,61342,11,5.38
Nissan Model D,Nissan,243,8.21,33853,2,10.25
Volkswagen Model D,Volkswagen,240,5.16,63288,14,7.51
